,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
3,1,0,5,39.0,1404.0,1,0.0,0.3955918913337844,0.3774566601664061,2.642543436776396,1.0
8,1,1,1,22.0,613.0,3,-3.0,0.415125363299188,0.4549845629613575,3.967254581708053,1.0
14,0,0,1,54.0,1429.0,1,-3.0,0.26079025929568816,0.4581346023700066,2.519950095501424,1.0
19,0,0,1,87.0,691.0,1,4.0,0.0979988692341208,0.29275944320947644,-0.19339597042210466,1.0
22,0,0,1,11.0,1464.0,2,0.0,0.4899845513514114,0.4423276672789087,4.218394890166452,1.0
27,1,0,22,87.0,900.0,2,-14.0,0.11225874096575908,0.1609488459913431,-2.093438298277678,0.0
32,1,0,9,74.0,211.0,1,-20.0,0.10231570189044452,0.15100719751690808,-0.1742547672155934,0.0
40,1,0,6,71.0,988.0,3,37.0,0.18980919291586465,0.28788653282279425,-0.006412170543140139,1.0
45,1,0,4,84.0,120.0,3,44.0,0.056246928831483835,0.11759288669401576,-0.30425364888224005,0.0
47,0,0,8,8.0,973.0,3,-3.0,0.5659359859657407,0.3858348858315394,4.190838181300749,0.0
53,0,0,1,35.0,1631.0,3,-7.0,0.3650927203579316,0.4754074098488658,3.584501011761092,1.0
65,0,0,6,60.0,98.0,3,4.0,0.1743659838086543,0.13296925241550944,1.0000808570443047,0.0
66,1,0,2,5.0,1605.0,3,0.0,0.5540418720969725,0.385633436705654,4.051023078131257,1.0
67,0,0,1,59.0,1539.0,2,-7.0,0.23423212212577466,0.4431749509916885,2.1080853331497065,1.0
80,0,0,1,1.0,537.0,3,-23.0,0.1971956780252916,0.7440814537461439,5.624668480987848,1.0
81,1,0,11,76.0,162.0,3,7.0,0.0871502878093763,0.12671244763917752,-0.3052961913041744,1.0
82,1,0,3,68.0,1729.0,2,0.0,0.2016417472920077,0.33667291000831523,0.5123988157795685,0.0
86,0,0,1,24.0,648.0,1,-11.0,0.40662417462837,0.4592100407228356,3.9331959763746087,1.0
91,1,0,3,59.0,195.0,1,-8.0,0.15673471431865127,0.2377441864049821,1.0653316209081387,1.0
94,0,0,2,55.0,99.0,3,7.0,0.1927885544585935,0.17627662310950534,1.4423366949975618,0.0
97,1,0,24,89.0,1018.0,2,-3.0,0.10548444825294603,0.15231402019453835,-2.3593187584410087,0.0
100,0,0,1,5.0,301.0,1,-7.0,0.4747176240032733,0.40357405783005057,4.023078411773248,1.0
101,1,0,10,81.0,80.0,1,7.0,0.07935242856392752,0.07426808079150607,0.1666154555523272,1.0
109,1,0,5,63.0,180.0,3,7.0,0.13836188899844235,0.1980318154694156,0.6232666211078373,0.0
111,0,0,8,13.0,48.0,2,7.0,0.5200139852304186,0.17943668699722942,2.676035669329775,0.0
116,1,0,13,77.0,35.0,2,-4.0,0.08235184828545189,0.06819676337826243,0.21445535647120284,0.0
119,0,0,1,81.0,1550.0,2,4.0,0.13056362299416796,0.34700026517084154,0.08277549611065815,0.0
120,0,0,2,6.0,1191.0,1,4.0,0.5466969635114199,0.39097769944080507,4.06759074207727,0.0
127,1,0,7,25.0,1090.0,3,-3.0,0.4952549481044216,0.3546983250318215,3.2200964979692563,1.0
128,0,0,1,1.0,1026.0,2,-3.0,0.2021391753135941,0.7523121970262034,5.684242999302173,0.0
129,1,0,4,69.0,608.0,3,-7.0,0.1785319872442669,0.2919587009027461,0.4939711493638317,0.0
133,1,0,1,55.0,41.0,3,3.0,0.161606071607858,0.17426135621398334,1.4078781452741769,1.0
136,1,0,6,60.0,1285.0,1,-13.0,0.2594800484527168,0.32924725413762884,0.9413383344879748,1.0
138,0,0,1,1.0,670.0,2,-6.0,0.19918756543230096,0.7487900760381881,5.659600210859074,1.0
146,1,0,7,87.0,1158.0,3,0.0,0.1137991957139272,0.2121394505614048,-1.6247797598633562,1.0
149,1,0,6,39.0,815.0,1,0.0,0.3907679511425478,0.3631461031626255,2.593189888297697,1.0
150,1,0,17,53.0,194.0,1,-7.0,0.2071810374890032,0.19034487220926927,0.7820117280843099,0.0
155,0,0,1,40.0,849.0,1,14.0,0.32905581195762273,0.4732159883976427,3.4054390833588237,1.0
157,1,0,10,47.0,513.0,3,-14.0,0.3181275909856169,0.2991586757001529,1.7033055858033996,1.0
166,1,0,1,66.0,1743.0,2,0.0,0.1979487259234305,0.4149428704566657,1.4500221547367829,0.0
168,1,0,2,67.0,1387.0,2,3.0,0.20323597960762504,0.3711756525182337,0.9834417067734542,1.0
170,1,0,1,55.0,310.0,2,1.0,0.1893899127000114,0.3486958273323469,1.9999899839105064,1.0
180,0,0,8,60.0,53.0,2,9.0,0.15838883523744754,0.11301314556462827,0.8489528219238771,0.0
182,1,0,16,90.0,1578.0,2,0.0,0.10150422849370984,0.1612103719256238,-2.454258400894189,0.0
