,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,pass_length,run_location,score_differential,fg_prob,td_prob,ep
0,1,0,10,39.0,2,1681.0,1.0,,0.0,0.4150092205855095,0.3337116620619478,2.2502316829649547
3,1,0,5,39.0,1,1404.0,,1.0,0.0,0.3955918913337844,0.3774566601664061,2.642543436776396
7,1,0,7,57.0,2,773.0,2.0,,-3.0,0.2698247708348076,0.31977277195689635,1.1937799211850888
8,1,1,1,22.0,1,613.0,,3.0,-3.0,0.415125363299188,0.4549845629613575,3.967254581708053
14,0,0,1,54.0,1,1429.0,,1.0,-3.0,0.26079025929568816,0.4581346023700066,2.519950095501424
15,1,0,5,41.0,2,1361.0,2.0,,-3.0,0.38225914343680667,0.3766444087291471,2.5258115854022285
16,1,0,8,24.0,2,1260.0,2.0,,-3.0,0.5081495139654605,0.3455951243362564,3.1941526573921912
19,0,0,1,87.0,1,691.0,,1.0,4.0,0.0979988692341208,0.29275944320947644,-0.19339597042210466
22,0,0,1,11.0,1,1464.0,,2.0,0.0,0.4899845513514114,0.4423276672789087,4.218394890166452
26,1,0,6,19.0,2,1070.0,2.0,,7.0,0.5252085339503292,0.35570779331335184,3.477966854757188
33,1,1,6,32.0,2,41.0,2.0,,20.0,0.3463515583341833,0.17159491625998552,2.009698318486933
38,1,1,7,35.0,2,1297.0,2.0,,-40.0,0.4322846336691007,0.3592634340636703,2.732175563668208
40,1,0,6,71.0,1,988.0,,3.0,37.0,0.18980919291586465,0.28788653282279425,-0.006412170543140139
42,1,0,19,91.0,2,829.0,1.0,,-37.0,0.09490717082551046,0.15013827281173675,-2.2589062496500945
46,1,0,4,29.0,2,1596.0,2.0,,0.0,0.4522317542881023,0.3875463868489215,3.228297168908658
48,1,0,4,56.0,2,782.0,2.0,,0.0,0.26730880231739645,0.35580109596657783,1.5977181560826814
49,0,0,1,40.0,2,671.0,2.0,,0.0,0.3197927545772156,0.462203878018353,3.3400382348701663
52,1,0,12,66.0,2,86.0,1.0,,-10.0,0.142537111139817,0.1013277265550412,0.6209341162614856
53,0,0,1,35.0,1,1631.0,,3.0,-7.0,0.3650927203579316,0.4754074098488658,3.584501011761092
59,0,0,5,80.0,2,927.0,2.0,,-4.0,0.14110929284568202,0.2572100908136594,-0.7027820065622103
66,1,0,2,5.0,1,1605.0,,3.0,0.0,0.5540418720969725,0.385633436705654,4.051023078131257
67,0,0,1,59.0,1,1539.0,,2.0,-7.0,0.23423212212577466,0.4431749509916885,2.1080853331497065
68,1,0,2,67.0,2,1413.0,2.0,,0.0,0.20322931118941548,0.3708920431135365,0.9761165204961402
70,1,0,4,53.0,2,782.0,1.0,,-3.0,0.2862622126601021,0.36376032178562906,1.8346155365680847
71,1,0,2,70.0,2,537.0,2.0,,0.0,0.15981071029379468,0.3131225198883765,0.8032699857535746
72,1,0,6,9.0,2,287.0,2.0,,0.0,0.5239241984917137,0.3107819267465945,3.4114567500786586
73,1,0,1,6.0,2,59.0,2.0,,-13.0,0.514896614239936,0.2601631233919725,3.277835728159628
77,1,0,6,50.0,2,1086.0,1.0,,9.0,0.3243419134086105,0.3545770341762016,1.8326371618696653
78,1,0,4,59.0,2,858.0,2.0,,16.0,0.2523345516963515,0.3510627572884397,1.3523431670534936
80,0,0,1,1.0,1,537.0,,3.0,-23.0,0.1971956780252916,0.7440814537461439,5.624668480987848
81,1,0,11,76.0,1,162.0,,3.0,7.0,0.0871502878093763,0.12671244763917752,-0.3052961913041744
83,1,0,12,21.0,2,1618.0,1.0,,0.0,0.5427354483398277,0.3170740056529299,3.114274331354804
86,0,0,1,24.0,1,648.0,,1.0,-11.0,0.40662417462837,0.4592100407228356,3.9331959763746087
88,1,0,5,77.0,2,493.0,2.0,,8.0,0.1296171241194733,0.22832603492618364,-0.2463667715301392
91,1,0,3,59.0,1,195.0,,1.0,-8.0,0.15673471431865127,0.2377441864049821,1.0653316209081387
98,1,0,7,54.0,2,493.0,2.0,,-7.0,0.2604720092478301,0.29702947282363024,1.3518293900114848
99,1,0,6,39.0,2,409.0,2.0,,-7.0,0.3443682558738025,0.3237030516202104,2.347789936007532
100,0,0,1,5.0,1,301.0,,1.0,-7.0,0.4747176240032733,0.40357405783005057,4.023078411773248
101,1,0,10,81.0,1,80.0,,1.0,7.0,0.07935242856392752,0.07426808079150607,0.1666154555523272
105,0,0,1,16.0,2,1255.0,2.0,,10.0,0.4637281615186,0.4549360190542432,4.1646789659237005
