,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
0,1,0,10,39.0,1681.0,1,0.0,0.4150092205855095,0.3337116620619478,2.2502316829649547,1.0
1,1,0,1,1.0,1559.0,2,0.0,0.20451513935752744,0.7498250258480528,5.661930905443307,0.0
2,1,0,4,92.0,1464.0,2,0.0,0.0939284172764184,0.213978319381528,-1.8325599783518391,0.0
4,1,0,3,3.0,1207.0,2,0.0,0.3862223202959134,0.5678010908644191,4.926551732125244,0.0
6,1,0,12,82.0,900.0,2,3.0,0.1339840941827209,0.2051011702237442,-1.3779004241905677,0.0
7,1,0,7,57.0,773.0,2,-3.0,0.2698247708348076,0.31977277195689635,1.1937799211850888,1.0
9,1,0,18,18.0,413.0,2,-3.0,0.6400690159169148,0.2557463168942613,3.4897837328382204,0.0
11,1,1,3,69.0,48.0,2,3.0,0.10812199352465587,0.11172846946288433,0.6888678584721476,0.0
12,1,0,9,58.0,1671.0,2,-3.0,0.2775139430475713,0.3069526904130902,0.7723875364521016,0.0
13,1,0,22,80.0,1557.0,2,3.0,0.14716991416314795,0.18589112636374744,-1.7908669914755866,0.0
15,1,0,5,41.0,1361.0,2,-3.0,0.38225914343680667,0.3766444087291471,2.5258115854022285,1.0
16,1,0,8,24.0,1260.0,2,-3.0,0.5081495139654605,0.3455951243362564,3.1941526573921912,1.0
17,1,0,10,60.0,1068.0,2,-4.0,0.2647273782739283,0.29964170768686405,0.6846353478044953,0.0
18,1,0,6,80.0,1001.0,2,4.0,0.14319524823522034,0.2495180777055908,-0.8465671293282813,0.0
20,1,0,28,85.0,345.0,2,2.0,0.08614787325505646,0.11491867885059692,-1.3239839497584995,0.0
21,1,0,10,10.0,11.0,2,-6.0,0.5730397915045861,0.198224387006027,3.039370743796085,0.0
24,1,0,9,74.0,1301.0,2,7.0,0.17799368870017634,0.2547653726483326,-0.6444541493627418,0.0
25,1,0,7,82.0,1248.0,1,-7.0,0.1359579784910301,0.2340000581144626,-1.2186183193581333,0.0
