,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
0,10,39.0,2,1681.0,0.0,0.4150092205855095,0.3337116620619478
3,5,39.0,1,1404.0,0.0,0.3955918913337844,0.3774566601664061
7,7,57.0,2,773.0,-3.0,0.2698247708348076,0.31977277195689635
8,1,22.0,1,613.0,-3.0,0.415125363299188,0.4549845629613575
14,1,54.0,1,1429.0,-3.0,0.26079025929568816,0.4581346023700066
15,5,41.0,2,1361.0,-3.0,0.38225914343680667,0.3766444087291471
16,8,24.0,2,1260.0,-3.0,0.5081495139654605,0.3455951243362564
19,1,87.0,1,691.0,4.0,0.0979988692341208,0.29275944320947644
22,1,11.0,1,1464.0,0.0,0.4899845513514114,0.4423276672789087
26,6,19.0,2,1070.0,7.0,0.5252085339503292,0.35570779331335184
33,6,32.0,2,41.0,20.0,0.3463515583341833,0.17159491625998552
38,7,35.0,2,1297.0,-40.0,0.4322846336691007,0.3592634340636703
40,6,71.0,1,988.0,37.0,0.18980919291586465,0.28788653282279425
42,19,91.0,2,829.0,-37.0,0.09490717082551046,0.15013827281173675
46,4,29.0,2,1596.0,0.0,0.4522317542881023,0.3875463868489215
48,4,56.0,2,782.0,0.0,0.26730880231739645,0.35580109596657783
49,1,40.0,2,671.0,0.0,0.3197927545772156,0.462203878018353
52,12,66.0,2,86.0,-10.0,0.142537111139817,0.1013277265550412
53,1,35.0,1,1631.0,-7.0,0.3650927203579316,0.4754074098488658
59,5,80.0,2,927.0,-4.0,0.14110929284568202,0.2572100908136594
66,2,5.0,1,1605.0,0.0,0.5540418720969725,0.385633436705654
67,1,59.0,1,1539.0,-7.0,0.23423212212577466,0.4431749509916885
68,2,67.0,2,1413.0,0.0,0.20322931118941548,0.3708920431135365
70,4,53.0,2,782.0,-3.0,0.2862622126601021,0.36376032178562906
71,2,70.0,2,537.0,0.0,0.15981071029379468,0.3131225198883765
72,6,9.0,2,287.0,0.0,0.5239241984917137,0.3107819267465945
73,1,6.0,2,59.0,-13.0,0.514896614239936,0.2601631233919725
