,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
0,1,0,13,75.0,pass,735.0,3.0,-3.0,0.16359649791997566,0.22157241885333992,-0.7280127660930513,0.0
1,1,0,9,20.0,pass,419.0,3.0,0.0,0.4917479801651765,0.3131030306558193,3.110654469500765,0.0
2,1,0,8,79.0,pass,1399.0,3.0,5.0,0.15079344229562666,0.23907997178721704,-1.0755986270233804,0.0
3,1,0,7,70.0,pass,900.0,3.0,-13.0,0.19459104378758804,0.2809413852144875,0.016882473787910968,0.0
4,1,0,6,48.0,pass,1447.0,3.0,-7.0,0.3398325552745505,0.35656005481970626,1.9188294370591767,0.0
5,0,0,3,35.0,pass,908.0,3.0,3.0,0.3981195519844485,0.40841694354907737,3.1413315817587573,1.0
6,1,0,3,60.0,pass,586.0,3.0,-20.0,0.2226932851018132,0.33930334072361584,1.390099856023207,0.0
7,1,0,12,66.0,pass,125.0,3.0,0.0,0.11723263315157464,0.14322073772651445,0.1456074137866955,0.0
8,1,0,9,18.0,pass,1612.0,3.0,0.0,0.5503128787161782,0.3285093093813881,3.3183305548984587,0.0
9,1,0,6,62.0,pass,406.0,3.0,19.0,0.1941810435424531,0.2604921809583802,0.7796741590251071,0.0
10,0,0,1,15.0,pass,70.0,3.0,10.0,0.4532486730868493,0.2631212872936178,3.081619443059952,0.0
11,0,0,8,70.0,pass,1656.0,3.0,0.0,0.1991279021698454,0.2727245380971625,-0.2975153814028726,0.0
12,1,0,7,32.0,pass,1247.0,3.0,-13.0,0.4519337746633149,0.3590759242795385,2.8974151786504105,1.0
13,1,0,9,79.0,pass,1475.0,3.0,-9.0,0.15093621776811667,0.232259890050764,-1.1713151162901188,1.0
14,1,1,7,54.0,pass,984.0,3.0,-7.0,0.2983487028704884,0.3355542350867312,1.4347246552085366,1.0
15,1,0,6,70.0,pass,1158.0,3.0,0.0,0.19758849196605227,0.2936798503453266,0.037363770013936204,0.0
16,1,0,12,13.0,pass,687.0,3.0,24.0,0.575792111614703,0.30514120764736224,3.3791321216626846,0.0
17,1,0,2,22.0,pass,1494.0,3.0,0.0,0.4649495409477248,0.4222176589412562,3.7638059968710365,1.0
