,Unnamed: 0,play_id,game_id,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,pass_length,pass_length.1,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
0,3117,3783,2018120207,0,0,1,62.0,pass,327.0,3.0,short,short,,6.0,0.15908830486450007,0.32622715173272343,1.5709316230322226,1.0
1,13192,3295,2016121810,0,0,1,79.0,pass,694.0,3.0,,,,-10.0,0.12707164448752314,0.33541920030963296,0.4947469631574541,0.0
2,5351,2149,2017100105,1,0,3,42.0,pass,1609.0,3.0,short,short,,16.0,0.3609731977780141,0.4045747853530624,2.6774832086963416,1.0
3,43558,3270,2009101200,0,0,3,67.0,pass,659.0,3.0,short,short,,-3.0,0.19054356946778225,0.3228367346411023,0.8352546707689179,1.0
4,15826,420,2015110107,1,0,1,70.0,pass,1377.0,3.0,short,short,,3.0,0.1791150165468308,0.40354966801609454,1.189366857525758,0.0
5,17643,1108,2015121700,0,0,2,74.0,pass,700.0,3.0,short,short,,-11.0,0.15440612977571494,0.3203598592108659,0.4829876370543236,1.0
6,38653,1472,2010101004,1,0,3,26.0,pass,520.0,3.0,short,short,,7.0,0.4274273475371141,0.3857142342677961,3.3707565529215247,1.0
7,11830,862,2016111312,1,0,2,13.0,pass,1003.0,3.0,short,short,,-4.0,0.5090095970105247,0.4077822285288669,3.9844880998359438,0.0
8,39830,295,2010110800,1,0,1,55.0,pass,1515.0,3.0,short,short,,-7.0,0.2554760897258543,0.4546899210747734,2.426576998714859,0.0
9,44259,2985,2009110105,0,0,2,2.0,pass,819.0,3.0,short,short,,4.0,0.30835662871963443,0.6418857253500831,5.22425358725881,1.0
10,3905,4002,2018121700,1,0,1,71.0,pass,77.0,3.0,short,short,,-5.0,0.10248464394346764,0.14138070409420406,0.8858350473342725,1.0
11,12692,753,2016121109,1,0,3,49.0,pass,1086.0,3.0,deep,deep,,10.0,0.3147124374531885,0.3988672591132745,2.296261892622239,0.0
12,23770,543,2013091502,1,0,2,60.0,pass,1342.0,3.0,short,short,,0.0,0.2419173488240645,0.39700512249181547,1.6235965055592545,1.0
13,11840,3758,2016111312,1,0,3,15.0,pass,270.0,3.0,short,short,,1.0,0.4546388585878906,0.3485525140561021,3.4303260586633533,1.0
14,23738,821,2013091504,0,0,3,35.0,pass,1059.0,3.0,short,short,,3.0,0.4016479246384535,0.4102896713262428,3.143865008223813,0.0
15,21474,1081,2014111611,1,0,3,59.0,pass,722.0,3.0,deep,deep,,4.0,0.2403261711604722,0.3591748760871973,1.5135575780501531,0.0
16,14202,3557,2015092009,0,1,2,56.0,pass,710.0,3.0,deep,deep,,19.0,0.2495983820585776,0.3919555382414588,1.983585004325318,1.0
17,25413,1206,2013102703,1,0,3,5.0,pass,598.0,3.0,short,short,,7.0,0.555590015466629,0.3615810075185246,3.907743738529415,1.0
18,22950,2759,2014122109,1,0,3,62.0,pass,999.0,3.0,short,short,,-35.0,0.23397889690636944,0.3634455972187399,1.2582726688950832,0.0
19,28272,3016,2012090903,0,0,1,1.0,pass,751.0,3.0,short,short,,18.0,0.20008380745702328,0.7504469503792487,5.6717000069279075,0.0
20,13860,1664,2015091000,1,1,3,35.0,pass,53.0,3.0,deep,deep,,-14.0,0.315481653355962,0.19269864258485656,2.0615202851246406,0.0
