feature,feature_weight,yards_to_go_limits
td_prob,0.151187,no_limit
ydstogo,0.150054,no_limit
shotgun,0.131456,no_limit
half_seconds_remaining,0.130214,no_limit
ep,0.121393,no_limit
fg_prob,0.118666,no_limit
score_differential,0.095755,no_limit
yardline_100,0.077794,no_limit
third_down_converted,0.016157,no_limit
no_huddle,0.007325,no_limit
ydstogo,0.157328,<=5_yards
td_prob,0.151454,<=5_yards
half_seconds_remaining,0.127126,<=5_yards
ep,0.123274,<=5_yards
shotgun,0.11894,<=5_yards
fg_prob,0.117862,<=5_yards
score_differential,0.101254,<=5_yards
yardline_100,0.075264,<=5_yards
third_down_converted,0.018965,<=5_yards
no_huddle,0.008533,<=5_yards
td_prob,0.144581,<=3_yards
ydstogo,0.135938,<=3_yards
shotgun,0.131683,<=3_yards
half_seconds_remaining,0.131126,<=3_yards
ep,0.125291,<=3_yards
fg_prob,0.124062,<=3_yards
score_differential,0.10221,<=3_yards
yardline_100,0.076779,<=3_yards
third_down_converted,0.019657,<=3_yards
no_huddle,0.008673,<=3_yards
half_seconds_remaining,0.173103,<1_yard
td_prob,0.157783,<1_yard
fg_prob,0.148966,<1_yard
ep,0.148276,<1_yard
score_differential,0.128361,<1_yard
shotgun,0.115273,<1_yard
yardline_100,0.093874,<1_yard
third_down_converted,0.023969,<1_yard
no_huddle,0.010394,<1_yard
